Status,Schacht Nr. oben,Schacht Nr. unten,Deckelhoehe oben,Deckelhoehe unten,Sohlhoehe oben,Sohlhoehe unten,Laenge,DN
0,H-025.2,H-025,206.85,206.83,204.17,203.37,21.57,500.0
0,HS-027,H-026,206.83,206.83,204.59,203.76,52.42,500.0
0,H-026,H-025,206.83,206.83,203.76,203.37,4.0,600.0
0,M3540,M3541,227.74,224.23,225.6,222.13,49.12,315.0
0,M3541,M3542,224.23,221.34,222.13,219.32,49.07,315.0
0,M3543,M3542,219.4,221.34,217.3,219.32,49.04,400.0
0,M3543,M3544,219.4,219.01,217.3,216.9,23.0,500.0
0,M3544,M3545,219.01,218.93,216.9,216.77,23.0,630.0
0,M3545,M3546,218.93,218.82,216.77,216.63,25.0,630.0
0,M3546,M3547,218.82,217.67,216.63,215.55,61.01,630.0
0,M3547,M3548,217.67,214.46,215.55,212.19,73.08,630.0
0,M3548,M3549,214.46,213.92,212.19,211.91,27.0,630.0
0,M3549,M3550,213.92,213.84,211.91,211.39,41.0,630.0
0,M3551,M3552,215.21,0.0,213.13,211.63,65.02,315.0
0,M3552,M3553,0.0,213.67,211.63,211.39,36.2,400.0
0,M3553,M3554,213.67,213.73,211.39,211.12,33.87,400.0
0,M3550,M3554,213.84,213.73,211.39,211.12,4.39,630.0
0,M3555,M3556,216.5,215.01,214.82,211.9,6.86,400.0
0,M3556,M3557,215.01,213.5,211.9,211.53,36.85,500.0
0,M3557,M3559,213.5,213.48,211.53,211.47,3.61,500.0
0,M3558,M3559,213.1,213.48,211.66,211.47,11.93,315.0
0,M3559,N1321,213.48,210.336,211.47,208.0,28.27,300.0
0,N1321,1306,210.336,209.57,208.0,207.17,5.9,300.0
1,N1322,N1321,209.254,210.336,208.25,208.0,44.24,300.0
1,N1323,N1324,207.427,207.27,206.85,206.8,33.28,300.0
1,N1324,N1327.1,207.27,207.125,206.8,206.58,47.14,300.0
1,N1325,N1324,207.883,207.27,207.0,206.8,36.23,300.0
1,N1325.1,N1325,208.147,207.883,207.5,207.0,36.49,300.0
1,N1327.1,1327.1,207.125,207.097,206.58,206.4,22.51,400.0
1,N1331-1,N1331-2,210.746,208.812,207.796,207.293,34.71,400.0
1,N1331-2,N1331-3,208.812,207.771,207.293,206.813,44.22,400.0
1,N1331-3,N1331-4,207.771,207.629,206.813,206.289,43.84,400.0
1,N1331-4,N1331-5,207.629,207.183,206.289,205.8,48.17,400.0
1,N1331-5,N1331-6,207.183,207.034,205.8,205.358,29.11,600.0
1,N1331-6,W_Rï¿½,207.034,208.514,205.358,204.4,38.95,600.0
1,N1332,N1331-1,210.477,210.746,208.502,207.796,62.47,400.0
1,N1333,N1332,211.22,210.477,209.69,208.502,64.81,400.0
1,N1334,N1333,214.681,211.22,212.413,209.69,77.67,400.0
1,N1337,N1334,219.273,214.681,216.0,212.413,43.27,400.0
0,1288,765,212.45,211.3,210.4,208.79,60.32,500.0
0,1289,1288,212.75,212.45,210.98,210.4,35.08,300.0
0,1306,1307,209.57,207.309,207.17,206.17,68.49,500.0
0,1307,H-025.2,207.309,206.85,206.17,204.17,45.97,500.0
4,1321,1322,210.82,210.25,209.24,208.4,43.36,250.0
4,1322,1323,210.25,209.49,208.4,207.58,41.96,250.0
4,1323,1324,209.49,208.56,207.58,207.05,50.62,300.0
4,1324,1326,208.56,207.59,207.05,206.81,28.01,300.0
4,1325,1324,209.84,208.56,208.43,207.05,28.99,250.0
4,1325.1,1325,210.5,209.84,209.5,208.43,22.03,250.0
4,1326,1327,207.59,207.25,206.81,206.63,38.39,300.0
1,1327,N1327.1,207.25,207.125,206.63,206.58,18.99,400.0
1,1327.1,1307,207.097,207.309,206.4,206.17,34.37,400.0
4,1330,1329,211.73,209.16,209.77,208.16,43.45,300.0
4,1331,1330,213.95,211.73,212.51,209.77,44.92,300.0
4,1332,1331,217.26,213.95,216.02,212.51,51.5,300.0
4,1333,1332,216.2,217.26,214.74,216.02,51.45,300.0
4,1334,1333,216.0,216.2,215.12,214.74,39.2,300.0
4,1335,1334,218.09,216.0,216.54,215.12,43.24,300.0
4,1336,1335,219.72,218.09,218.17,216.54,32.85,300.0
4,1337,1336,222.51,219.72,220.36,218.17,33.15,300.0
4,1338,1337,225.23,222.51,223.31,220.36,46.28,300.0
0,1341,HS-037,209.25,209.29,207.87,205.79,15.38,200.0
0,1342RU,1341,209.86,209.25,207.65,207.87,32.01,200.0
4,1342RU,1342.0AL,209.86,205.6,207.65,203.57,58.1,500.0
0,1343,1342RU,212.1,209.86,208.37,207.65,9.77,300.0
0,1344,1342RU,212.19,209.86,208.77,207.65,34.1,300.0
0,1345,1344,215.91,212.19,211.31,208.77,24.36,300.0
0,1346,1345,215.93,215.91,214.05,211.31,25.27,300.0
0,1347,1346,215.96,215.93,214.49,214.05,14.55,300.0
0,1348,1347,219.04,215.96,215.55,214.49,11.56,300.0
4,1348.1,1348,223.69,219.04,220.95,215.55,49.76,300.0
0,1348.2,1348.1,225.64,223.69,223.98,220.95,15.41,300.0
1,1348.2,N1337,225.64,219.273,223.98,216.0,73.74,400.0
0,1349,1348.2,228.11,225.64,225.8,223.98,31.9,400.0
0,1350,1349,229.22,228.11,226.62,225.8,31.91,400.0
0,24,23,207.34,207.61,203.28,202.96,49.85,800.0
0,24_Rï¿½,24,207.34,207.34,203.3,203.28,2.27,800.0
0,744,Auslauf1,208.77,0.0,205.4,0.0,209.0,500.0
0,745,744,209.11,208.77,205.66,205.4,13.29,300.0
0,746,745,209.55,209.11,205.76,205.66,24.94,300.0
0,747.1,747,208.38,207.92,206.1,205.93,46.58,300.0
0,748,747,207.95,207.92,206.59,205.93,1.36,300.0
0,747,746,207.92,209.55,205.93,205.76,62.01,300.0
0,747.2,747.1,207.18,208.38,206.17,206.1,44.2,300.0
0,749,748,209.54,207.95,207.74,206.59,65.44,300.0
0,749,762,209.54,209.21,207.74,206.63,15.91,300.0
0,762RU,744,209.35,208.77,206.79,205.4,19.25,400.0
0,762RU,762,209.35,209.21,206.79,206.63,18.57,900.0
0,763,762RU,209.66,209.35,207.54,206.79,14.21,1000.0
0,764,763,210.06,209.66,207.91,207.54,18.23,700.0
0,765,764,211.3,210.06,208.79,207.91,47.57,700.0
0,766,765,212.22,211.3,209.83,208.79,25.85,700.0
0,767,766,212.89,212.22,210.98,209.83,30.92,500.0
0,768,767,214.55,212.89,212.03,210.98,17.35,250.0
0,767F,767,213.49,212.89,211.59,210.98,32.15,500.0
0,769,768,217.46,214.55,212.28,212.03,23.97,200.0
0,770,766,213.64,212.22,211.71,209.83,46.19,300.0
